symbol,exchange,date,period,strike,out-of-the-money-pcent,call/put,iv,delta,moneyness,normalizediv,matyears
SPX,CBOE,42399,180,3224.349,0,C,0.153582,0.521503,1,0.076791,0.493150685
SPX,CBOE,42399,180,3224.349,0,P,0.154732,-0.478336,1,0.077366,0.493150685
SPX,CBOE,42399,180,3385.566,5,C,0.127528,0.30853,1.05,0.127528,0.493150685
SPX,CBOE,42399,180,3063.131,5,P,0.181036,-0.320239,0.95,0.181036,0.493150685
SPX,CBOE,42399,180,3546.784,10,C,0.111943,0.120376,1.1,0.111943,0.493150685
SPX,CBOE,42399,180,2901.914,10,P,0.205642,-0.211337,0.9,0.205642,0.493150685
SPX,CBOE,42399,180,2740.697,15,P,0.228486,-0.137175,0.85,0.228486,0.493150685
SPX,CBOE,42399,180,2579.479,20,P,0.248526,-0.085996,0.8,0.248526,0.493150685
SPX,CBOE,42399,180,2418.261,25,P,0.268537,-0.052636,0.75,0.268537,0.493150685
SPX,CBOE,42399,180,2257.044,30,P,0.290536,-0.032144,0.7,0.290536,0.493150685
SPX,CBOE,42399,180,2095.826,35,P,0.313061,-0.019254,0.65,0.313061,0.493150685
SPX,CBOE,42399,180,1934.609,40,P,0.338794,-0.011725,0.6,0.338794,0.493150685
SPX,CBOE,42399,360,3228.613,0,C,0.155027,0.530681,1,0.0775135,0.98630137
SPX,CBOE,42399,360,3228.613,0,P,0.161747,-0.467992,1,0.0808735,0.98630137
SPX,CBOE,42399,360,3390.043,5,C,0.136081,0.38459,1.05,0.136081,0.98630137
SPX,CBOE,42399,360,3067.182,5,P,0.179845,-0.353278,0.95,0.179845,0.98630137
SPX,CBOE,42399,360,3551.474,10,C,0.119147,0.227739,1.1,0.119147,0.98630137
SPX,CBOE,42399,360,2905.751,10,P,0.196343,-0.261794,0.9,0.196343,0.98630137
SPX,CBOE,42399,360,2744.321,15,P,0.21185,-0.190067,0.85,0.21185,0.98630137
SPX,CBOE,42399,360,2582.89,20,P,0.226482,-0.134679,0.8,0.226482,0.98630137
SPX,CBOE,42399,360,2421.459,25,P,0.239752,-0.092209,0.75,0.239752,0.98630137
SPX,CBOE,42399,360,2260.029,30,P,0.253464,-0.061439,0.7,0.253464,0.98630137
SPX,CBOE,42399,360,2098.598,35,P,0.267771,-0.039812,0.65,0.267771,0.98630137
SPX,CBOE,42399,360,1937.168,40,P,0.283855,-0.02541,0.6,0.283855,0.98630137
SPX,CBOE,42399,720,3227.656,0,C,0.158393,0.544283,1,0.0791965,1.97260274
SPX,CBOE,42399,720,3227.656,0,P,0.170908,-0.452234,1,0.085454,1.97260274
SPX,CBOE,42399,720,3389.038,5,C,0.147531,0.447547,1.05,0.147531,1.97260274
SPX,CBOE,42399,720,3066.273,5,P,0.181644,-0.371223,0.95,0.181644,1.97260274
SPX,CBOE,42399,720,3550.421,10,C,0.136961,0.344838,1.1,0.136961,1.97260274
SPX,CBOE,42399,720,2904.89,10,P,0.191713,-0.29947,0.9,0.191713,1.97260274
SPX,CBOE,42399,720,2743.507,15,P,0.20197,-0.237379,0.85,0.20197,1.97260274
SPX,CBOE,42399,720,2582.125,20,P,0.211786,-0.18435,0.8,0.211786,1.97260274
SPX,CBOE,42399,720,2420.742,25,P,0.221234,-0.139801,0.75,0.221234,1.97260274
SPX,CBOE,42399,720,2259.359,30,P,0.230558,-0.103227,0.7,0.230558,1.97260274
SPX,CBOE,42399,720,2097.976,35,P,0.239838,-0.07391,0.65,0.239838,1.97260274
SPX,CBOE,42399,720,1936.593,40,P,0.249937,-0.051475,0.6,0.249937,1.97260274
SPX,CBOE,42399,1080,3228.295,0,C,0.161431,0.555213,1,0.0807155,2.95890411
SPX,CBOE,42399,1080,3228.295,0,P,0.17776,-0.439244,1,0.08888,2.95890411
SPX,CBOE,42399,1080,3389.709,5,C,0.153952,0.479332,1.05,0.153952,2.95890411
SPX,CBOE,42399,1080,3066.88,5,P,0.185437,-0.374373,0.95,0.185437,2.95890411
SPX,CBOE,42399,1080,3551.125,10,C,0.146131,0.399947,1.1,0.146131,2.95890411
SPX,CBOE,42399,1080,2905.465,10,P,0.193239,-0.314488,0.9,0.193239,2.95890411
SPX,CBOE,42399,1080,2744.051,15,P,0.201702,-0.260472,0.85,0.201702,2.95890411
SPX,CBOE,42399,1080,2582.636,20,P,0.209115,-0.211797,0.8,0.209115,2.95890411
SPX,CBOE,42399,1080,2421.221,25,P,0.216531,-0.168879,0.75,0.216531,2.95890411
SPX,CBOE,42399,1080,2259.806,30,P,0.225027,-0.132427,0.7,0.225027,2.95890411
SPX,CBOE,42399,1080,2098.392,35,P,0.231703,-0.100251,0.65,0.231703,2.95890411
SPX,CBOE,42399,1080,1936.977,40,P,0.239975,-0.074386,0.6,0.239975,2.95890411
SPX,CBOE,42398,30,3290.066,0,C,0.13215,0.507557,1,0.066075,0.082191781
SPX,CBOE,42398,30,3290.066,0,P,0.130991,-0.49251,1,0.0654955,0.082191781
SPX,CBOE,42398,30,3454.57,5,C,0.09002,0.030217,1.05,0.09002,0.082191781
SPX,CBOE,42398,30,3125.563,5,P,0.183618,-0.158484,0.95,0.183618,0.082191781
SPX,CBOE,42398,30,3619.073,10,C,0.093727,0.000205,1.1,0.093727,0.082191781
SPX,CBOE,42398,30,2961.06,10,P,0.224491,-0.047535,0.9,0.224491,0.082191781
SPX,CBOE,42398,30,2796.557,15,P,0.270872,-0.016519,0.85,0.270872,0.082191781
SPX,CBOE,42398,30,2632.053,20,P,0.323877,-0.00715,0.8,0.323877,0.082191781
SPX,CBOE,42398,30,2467.55,25,P,0.380582,-0.00356,0.75,0.380582,0.082191781
SPX,CBOE,42398,30,2303.046,30,P,0.443968,-0.002079,0.7,0.443968,0.082191781
SPX,CBOE,42398,30,2138.543,35,P,0.483706,-0.000747,0.65,0.483706,0.082191781
SPX,CBOE,42398,30,1974.04,40,P,0.492879,-0.000114,0.6,0.492879,0.082191781
SPX,CBOE,42398,60,3290.351,0,C,0.13515,0.510929,1,0.067575,0.164383562
SPX,CBOE,42398,60,3290.351,0,P,0.134524,-0.489122,1,0.067262,0.164383562
SPX,CBOE,42398,60,3454.869,5,C,0.097096,0.111291,1.05,0.097096,0.164383562
SPX,CBOE,42398,60,3125.834,5,P,0.176627,-0.226003,0.95,0.176627,0.164383562
SPX,CBOE,42398,60,3619.386,10,C,0.099561,0.009617,1.1,0.099561,0.164383562
SPX,CBOE,42398,60,2961.316,10,P,0.21192,-0.102184,0.9,0.21192,0.164383562
SPX,CBOE,42398,60,2796.799,15,P,0.245099,-0.045982,0.85,0.245099,0.164383562
SPX,CBOE,42398,60,2632.281,20,P,0.281703,-0.022172,0.8,0.281703,0.164383562
SPX,CBOE,42398,60,2467.763,25,P,0.322394,-0.011718,0.75,0.322394,0.164383562
SPX,CBOE,42398,60,2303.246,30,P,0.366386,-0.006655,0.7,0.366386,0.164383562
SPX,CBOE,42398,60,2138.728,35,P,0.412136,-0.003889,0.65,0.412136,0.164383562
SPX,CBOE,42398,60,1974.211,40,P,0.459214,-0.002279,0.6,0.459214,0.164383562
SPX,CBOE,42398,90,3290.43,0,C,0.138537,0.513719,1,0.0692685,0.246575342
SPX,CBOE,42398,90,3290.43,0,P,0.134604,-0.48667,1,0.067302,0.246575342
SPX,CBOE,42398,90,3454.952,5,C,0.103774,0.178511,1.05,0.103774,0.246575342
SPX,CBOE,42398,90,3125.909,5,P,0.171525,-0.259525,0.95,0.171525,0.246575342
SPX,CBOE,42398,90,3619.474,10,C,0.097983,0.026521,1.1,0.097983,0.246575342
SPX,CBOE,42398,90,2961.387,10,P,0.203559,-0.137222,0.9,0.203559,0.246575342
SPX,CBOE,42398,90,2796.866,15,P,0.232183,-0.071153,0.85,0.232183,0.246575342
SPX,CBOE,42398,90,2632.344,20,P,0.260975,-0.036992,0.8,0.260975,0.246575342
SPX,CBOE,42398,90,2467.823,25,P,0.294017,-0.020504,0.75,0.294017,0.246575342
SPX,CBOE,42398,90,2303.301,30,P,0.330355,-0.012026,0.7,0.330355,0.246575342
SPX,CBOE,42398,90,2138.78,35,P,0.369509,-0.007353,0.65,0.369509,0.246575342
SPX,CBOE,42398,90,1974.258,40,P,0.410656,-0.004567,0.6,0.410656,0.246575342
SPX,CBOE,42398,120,3290.332,0,C,0.137154,0.515626,1,0.068577,0.328767123
SPX,CBOE,42398,120,3290.332,0,P,0.136149,-0.484489,1,0.0680745,0.328767123
SPX,CBOE,42398,120,3454.849,5,C,0.107714,0.223843,1.05,0.107714,0.328767123
SPX,CBOE,42398,120,3125.816,5,P,0.168597,-0.281356,0.95,0.168597,0.328767123
SPX,CBOE,42398,120,3619.365,10,C,0.097823,0.047323,1.1,0.097823,0.328767123
SPX,CBOE,42398,120,2961.299,10,P,0.197954,-0.162334,0.9,0.197954,0.328767123
SPX,CBOE,42398,120,2796.782,15,P,0.224115,-0.091945,0.85,0.224115,0.328767123
SPX,CBOE,42398,120,2632.266,20,P,0.248748,-0.050946,0.8,0.248748,0.328767123
SPX,CBOE,42398,120,2467.749,25,P,0.274772,-0.028411,0.75,0.274772,0.328767123
SPX,CBOE,42398,120,2303.233,30,P,0.304295,-0.016527,0.7,0.304295,0.328767123
SPX,CBOE,42398,120,2138.716,35,P,0.336345,-0.009901,0.65,0.336345,0.328767123
SPX,CBOE,42398,120,1974.199,40,P,0.370721,-0.006047,0.6,0.370721,0.328767123
SPX,CBOE,42398,150,3289.673,0,C,0.13938,0.517817,1,0.06969,0.410958904
SPX,CBOE,42398,150,3289.673,0,P,0.137905,-0.482371,1,0.0689525,0.410958904
SPX,CBOE,42398,150,3454.156,5,C,0.111871,0.259637,1.05,0.111871,0.410958904
SPX,CBOE,42398,150,3125.189,5,P,0.167413,-0.297502,0.95,0.167413,0.410958904
SPX,CBOE,42398,150,3618.64,10,C,0.099521,0.071868,1.1,0.099521,0.410958904
SPX,CBOE,42398,150,2960.706,10,P,0.194599,-0.182216,0.9,0.194599,0.410958904
SPX,CBOE,42398,150,2796.222,15,P,0.219023,-0.109783,0.85,0.219023,0.410958904
SPX,CBOE,42398,150,2631.739,20,P,0.241665,-0.064529,0.8,0.241665,0.410958904
SPX,CBOE,42398,150,2467.255,25,P,0.264295,-0.03732,0.75,0.264295,0.410958904
SPX,CBOE,42398,150,2302.771,30,P,0.288301,-0.021574,0.7,0.288301,0.410958904
SPX,CBOE,42398,150,2138.287,35,P,0.315139,-0.012763,0.65,0.315139,0.410958904
SPX,CBOE,42398,150,1973.804,40,P,0.343924,-0.007609,0.6,0.343924,0.410958904
SPX,CBOE,42398,180,3289.517,0,C,0.141493,0.519812,1,0.0707465,0.493150685
SPX,CBOE,42398,180,3289.517,0,P,0.139486,-0.480469,1,0.069743,0.493150685
SPX,CBOE,42398,180,3453.993,5,C,0.115328,0.287079,1.05,0.115328,0.493150685
SPX,CBOE,42398,180,3125.041,5,P,0.167147,-0.310061,0.95,0.167147,0.493150685
SPX,CBOE,42398,180,3618.469,10,C,0.100935,0.095232,1.1,0.100935,0.493150685
SPX,CBOE,42398,180,2960.565,10,P,0.192433,-0.198432,0.9,0.192433,0.493150685
SPX,CBOE,42398,180,2796.09,15,P,0.214961,-0.124644,0.85,0.214961,0.493150685
SPX,CBOE,42398,180,2631.614,20,P,0.236046,-0.076495,0.8,0.236046,0.493150685
SPX,CBOE,42398,180,2467.138,25,P,0.256859,-0.045988,0.75,0.256859,0.493150685
SPX,CBOE,42398,180,2302.662,30,P,0.278158,-0.0272,0.7,0.278158,0.493150685
SPX,CBOE,42398,180,2138.186,35,P,0.300682,-0.015948,0.65,0.300682,0.493150685
SPX,CBOE,42398,180,1973.71,40,P,0.32594,-0.009483,0.6,0.32594,0.493150685
SPX,CBOE,42398,360,3292.778,0,C,0.149347,0.529559,1,0.0746735,0.98630137
SPX,CBOE,42398,360,3292.778,0,P,0.151493,-0.470018,1,0.0757465,0.98630137
SPX,CBOE,42398,360,3457.416,5,C,0.129988,0.37699,1.05,0.129988,0.98630137
SPX,CBOE,42398,360,3128.139,5,P,0.171265,-0.349521,0.95,0.171265,0.98630137
SPX,CBOE,42398,360,3622.055,10,C,0.11326,0.214443,1.1,0.11326,0.98630137
SPX,CBOE,42398,360,2963.5,10,P,0.188011,-0.255387,0.9,0.188011,0.98630137
SPX,CBOE,42398,360,2798.861,15,P,0.20448,-0.183574,0.85,0.20448,0.98630137
SPX,CBOE,42398,360,2634.222,20,P,0.219872,-0.12901,0.8,0.219872,0.98630137
SPX,CBOE,42398,360,2469.583,25,P,0.23451,-0.088239,0.75,0.23451,0.98630137
SPX,CBOE,42398,360,2304.944,30,P,0.249273,-0.058845,0.7,0.249273,0.98630137
SPX,CBOE,42398,360,2140.305,35,P,0.261058,-0.036631,0.65,0.261058,0.98630137
SPX,CBOE,42398,360,1975.667,40,P,0.277081,-0.023079,0.6,0.277081,0.98630137
SPX,CBOE,42398,720,3292.491,0,C,0.156957,0.543884,1,0.0784785,1.97260274
SPX,CBOE,42398,720,3292.491,0,P,0.164251,-0.454086,1,0.0821255,1.97260274
SPX,CBOE,42398,720,3457.116,5,C,0.145553,0.445732,1.05,0.145553,1.97260274
SPX,CBOE,42398,720,3127.867,5,P,0.17602,-0.370288,0.95,0.17602,1.97260274
SPX,CBOE,42398,720,3621.74,10,C,0.134806,0.341369,1.1,0.134806,1.97260274
SPX,CBOE,42398,720,2963.242,10,P,0.18713,-0.297262,0.9,0.18713,1.97260274
SPX,CBOE,42398,720,2798.618,15,P,0.197786,-0.234552,0.85,0.197786,1.97260274
SPX,CBOE,42398,720,2633.993,20,P,0.207966,-0.18141,0.8,0.207966,1.97260274
SPX,CBOE,42398,720,2469.368,25,P,0.217747,-0.137067,0.75,0.217747,1.97260274
SPX,CBOE,42398,720,2304.744,30,P,0.227405,-0.1009,0.7,0.227405,1.97260274
SPX,CBOE,42398,720,2140.119,35,P,0.237389,-0.072316,0.65,0.237389,1.97260274
SPX,CBOE,42398,720,1975.495,40,P,0.247438,-0.050124,0.6,0.247438,1.97260274
SPX,CBOE,42398,1080,3294.011,0,C,0.161644,0.555285,1,0.080822,2.95890411
SPX,CBOE,42398,1080,3294.011,0,P,0.173622,-0.440648,1,0.086811,2.95890411
SPX,CBOE,42398,1080,3458.712,5,C,0.153529,0.478985,1.05,0.153529,2.95890411
SPX,CBOE,42398,1080,3129.311,5,P,0.182048,-0.374343,0.95,0.182048,2.95890411
SPX,CBOE,42398,1080,3623.413,10,C,0.145491,0.39909,1.1,0.145491,2.95890411
SPX,CBOE,42398,1080,2964.61,10,P,0.190443,-0.31369,0.9,0.190443,2.95890411
SPX,CBOE,42398,1080,2799.91,15,P,0.198836,-0.259082,0.85,0.198836,2.95890411
SPX,CBOE,42398,1080,2635.209,20,P,0.206906,-0.210432,0.8,0.206906,2.95890411
SPX,CBOE,42398,1080,2470.509,25,P,0.214716,-0.16763,0.75,0.214716,2.95890411
SPX,CBOE,42398,1080,2305.808,30,P,0.22299,-0.131005,0.7,0.22299,2.95890411
SPX,CBOE,42398,1080,2141.107,35,P,0.230451,-0.099411,0.65,0.230451,2.95890411
SPX,CBOE,42398,1080,1976.407,40,P,0.2387,-0.073613,0.6,0.2387,2.95890411
SPX,CBOE,42397,30,3272.822,0,C,0.141259,0.508077,1,0.0706295,0.082191781
SPX,CBOE,42397,30,3272.822,0,P,0.145333,-0.49169,1,0.0726665,0.082191781
SPX,CBOE,42397,30,3436.463,5,C,0.094902,0.037567,1.05,0.094902,0.082191781
SPX,CBOE,42397,30,3109.181,5,P,0.195391,-0.172666,0.95,0.195391,0.082191781
SPX,CBOE,42397,30,3600.104,10,C,0.096532,0.000302,1.1,0.096532,0.082191781
SPX,CBOE,42397,30,2945.54,10,P,0.236314,-0.056027,0.9,0.236314,0.082191781
SPX,CBOE,42397,30,2781.899,15,P,0.279425,-0.019283,0.85,0.279425,0.082191781
SPX,CBOE,42397,30,2618.258,20,P,0.328347,-0.007813,0.8,0.328347,0.082191781
SPX,CBOE,42397,30,2454.616,25,P,0.378839,-0.003435,0.75,0.378839,0.082191781
SPX,CBOE,42397,30,2290.975,30,P,0.44087,-0.001956,0.7,0.44087,0.082191781
SPX,CBOE,42397,30,2127.334,35,P,0.478167,-0.000661,0.65,0.478167,0.082191781
SPX,CBOE,42397,30,1963.693,40,P,0.478167,-0.000074,0.6,0.478167,0.082191781
SPX,CBOE,42397,60,3273.138,0,C,0.141391,0.511433,1,0.0706955,0.164383562
SPX,CBOE,42397,60,3273.138,0,P,0.144061,-0.488351,1,0.0720305,0.164383562
SPX,CBOE,42397,60,3436.795,5,C,0.103257,0.12621,1.05,0.103257,0.164383562
SPX,CBOE,42397,60,3109.481,5,P,0.184339,-0.234635,0.95,0.184339,0.164383562
SPX,CBOE,42397,60,3600.452,10,C,0.101604,0.010922,1.1,0.101604,0.164383562
SPX,CBOE,42397,60,2945.824,10,P,0.218809,-0.108976,0.9,0.218809,0.164383562
SPX,CBOE,42397,60,2782.167,15,P,0.250748,-0.04953,0.85,0.250748,0.164383562
SPX,CBOE,42397,60,2618.51,20,P,0.2858,-0.023647,0.8,0.2858,0.164383562
SPX,CBOE,42397,60,2454.854,25,P,0.324798,-0.012211,0.75,0.324798,0.164383562
SPX,CBOE,42397,60,2291.197,30,P,0.367407,-0.006777,0.7,0.367407,0.164383562
SPX,CBOE,42397,60,2127.54,35,P,0.413474,-0.003983,0.65,0.413474,0.164383562
SPX,CBOE,42397,60,1963.883,40,P,0.458062,-0.002232,0.6,0.458062,0.164383562
SPX,CBOE,42397,90,3273.159,0,C,0.142589,0.514121,1,0.0712945,0.246575342
SPX,CBOE,42397,90,3273.159,0,P,0.141643,-0.485973,1,0.0708215,0.246575342
SPX,CBOE,42397,90,3436.816,5,C,0.1081,0.188864,1.05,0.1081,0.246575342
SPX,CBOE,42397,90,3109.501,5,P,0.177305,-0.265456,0.95,0.177305,0.246575342
SPX,CBOE,42397,90,3600.475,10,C,0.099159,0.027999,1.1,0.099159,0.246575342
SPX,CBOE,42397,90,2945.843,10,P,0.208534,-0.142478,0.9,0.208534,0.246575342
SPX,CBOE,42397,90,2782.185,15,P,0.236582,-0.074632,0.85,0.236582,0.246575342
SPX,CBOE,42397,90,2618.527,20,P,0.264445,-0.038784,0.8,0.264445,0.246575342
SPX,CBOE,42397,90,2454.869,25,P,0.296457,-0.021288,0.75,0.296457,0.246575342
SPX,CBOE,42397,90,2291.211,30,P,0.331902,-0.012334,0.7,0.331902,0.246575342
SPX,CBOE,42397,90,2127.553,35,P,0.370533,-0.007481,0.65,0.370533,0.246575342
SPX,CBOE,42397,90,1963.895,40,P,0.411436,-0.004628,0.6,0.411436,0.246575342
SPX,CBOE,42397,120,3273.083,0,C,0.141188,0.516144,1,0.070594,0.328767123
SPX,CBOE,42397,120,3273.083,0,P,0.142499,-0.483706,1,0.0712495,0.328767123
SPX,CBOE,42397,120,3436.737,5,C,0.111434,0.232189,1.05,0.111434,0.328767123
SPX,CBOE,42397,120,3109.428,5,P,0.17413,-0.286493,0.95,0.17413,0.328767123
SPX,CBOE,42397,120,3600.391,10,C,0.099381,0.050077,1.1,0.099381,0.328767123
SPX,CBOE,42397,120,2945.774,10,P,0.202744,-0.16741,0.9,0.202744,0.328767123
SPX,CBOE,42397,120,2782.12,15,P,0.228426,-0.095722,0.85,0.228426,0.328767123
SPX,CBOE,42397,120,2618.466,20,P,0.252564,-0.053341,0.8,0.252564,0.328767123
SPX,CBOE,42397,120,2454.812,25,P,0.277625,-0.029593,0.75,0.277625,0.328767123
SPX,CBOE,42397,120,2291.158,30,P,0.306072,-0.016998,0.7,0.306072,0.328767123
SPX,CBOE,42397,120,2127.504,35,P,0.337416,-0.01008,0.65,0.337416,0.328767123
SPX,CBOE,42397,120,1963.85,40,P,0.370151,-0.005986,0.6,0.370151,0.328767123
SPX,CBOE,42397,150,3272.845,0,C,0.142686,0.518239,1,0.071343,0.410958904
SPX,CBOE,42397,150,3272.845,0,P,0.143098,-0.481708,1,0.071549,0.410958904
SPX,CBOE,42397,150,3436.488,5,C,0.115109,0.266219,1.05,0.115109,0.410958904
SPX,CBOE,42397,150,3109.203,5,P,0.172583,-0.301902,0.95,0.172583,0.410958904
SPX,CBOE,42397,150,3600.13,10,C,0.101462,0.075955,1.1,0.101462,0.410958904
SPX,CBOE,42397,150,2945.561,10,P,0.199187,-0.187011,0.9,0.199187,0.410958904
SPX,CBOE,42397,150,2781.919,15,P,0.223163,-0.113612,0.85,0.223163,0.410958904
SPX,CBOE,42397,150,2618.276,20,P,0.245313,-0.067123,0.8,0.245313,0.410958904
SPX,CBOE,42397,150,2454.634,25,P,0.267146,-0.038744,0.75,0.267146,0.410958904
SPX,CBOE,42397,150,2290.992,30,P,0.290319,-0.022242,0.7,0.290319,0.410958904
SPX,CBOE,42397,150,2127.349,35,P,0.315966,-0.012939,0.65,0.315966,0.410958904
SPX,CBOE,42397,150,1963.707,40,P,0.343487,-0.00755,0.6,0.343487,0.410958904
SPX,CBOE,42397,180,3272.767,0,C,0.144646,0.520253,1,0.072323,0.493150685
SPX,CBOE,42397,180,3272.767,0,P,0.144845,-0.479719,1,0.0724225,0.493150685
SPX,CBOE,42397,180,3436.406,5,C,0.118471,0.292928,1.05,0.118471,0.493150685
SPX,CBOE,42397,180,3109.129,5,P,0.171963,-0.313791,0.95,0.171963,0.493150685
SPX,CBOE,42397,180,3600.044,10,C,0.10333,0.100766,1.1,0.10333,0.493150685
SPX,CBOE,42397,180,2945.49,10,P,0.196834,-0.202889,0.9,0.196834,0.493150685
SPX,CBOE,42397,180,2781.852,15,P,0.219064,-0.128533,0.85,0.219064,0.493150685
SPX,CBOE,42397,180,2618.214,20,P,0.2397,-0.079298,0.8,0.2397,0.493150685
SPX,CBOE,42397,180,2454.575,25,P,0.259715,-0.047605,0.75,0.259715,0.493150685
SPX,CBOE,42397,180,2290.937,30,P,0.280123,-0.02797,0.7,0.280123,0.493150685
SPX,CBOE,42397,180,2127.299,35,P,0.301847,-0.016248,0.65,0.301847,0.493150685
